Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.11856,-0.056508,8.1272E-06,0,0,0,9.2977,0.32593,-0.013555,-7.8276E-06,0.52764,-1.5075E-06,0.25239,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/base_link.STL,,WingSD-f-1;FuselageSD new-1;motor-1;motor-2;motor-5;motor-6;Tail-SD-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ruddervator,0.029088,-0.0071511,0.0084768,0,0,0,0.011825,0.0002244,3.7585E-10,-1.8506E-06,0.00022971,-5.9334E-09,5.7467E-06,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/left_ruddervator.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/left_ruddervator.STL,,ruddervator_left-2,Origin_left_ruddervator_joint,Axis_left_ruddervator_joint,left_ruddervator_joint,revolute,1.3278,-0.17783,0.17783,2.3562,0,0,base_link,0,0,1,-1,-1,-0.53,0.53,,,,,,,,
left_aileron,0.017378,-0.008312,0.45424,0,0,0,0.0090385,0.00063296,3.822E-07,-1.7169E-07,0.00063438,4.2676E-07,1.7477E-06,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/left_aileron.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/left_aileron.STL,,aileron_left-2,Origin_left_aileron_joint,Axis_left_aileron_joint,left_aileron_joint,revolute,0.28599,-0.38,0.006356,1.5708,-0.29369,0,base_link,0,0,1,-1,-1,-0.53,0.53,,,,,,,,
right_aileron,0.017379,-0.008312,-0.45424,0,0,0,0.0090385,0.00063296,3.822E-07,1.716E-07,0.00063439,-4.2675E-07,1.7477E-06,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/right_aileron.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/right_aileron.STL,,aileron_right-1,Origin_right_aileron_joint,Axis_right_aileron_joint,right_aileron_joint,revolute,0.28599,0.38,0.006356,1.5708,-0.59602,0,base_link,0,0,1,1,1,-0.53,0.53,,,,,,,,
rotor_0,-1.0421E-08,0.015147,1.1155E-08,0,0,0,0.067297,0.0014426,9.0561E-13,6.2334E-05,0.0014525,-9.2603E-13,1.1315E-05,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_0.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_0.STL,,quad prop CCW 1-2,Origin_rotor_0_joint,Axis_rotor_0_joint,rotor_0_joint,continuous,-0.564,0.35355,0.0064134,1.5708,0,0.011221,base_link,0,1,0,,,,,,,,,,,,
rotor_1,-1.0351E-08,0.015147,1.1846E-08,0,0,0,0.067297,0.0014426,9.1437E-13,6.2334E-05,0.0014525,-9.5513E-13,1.1315E-05,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_1.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_1.STL,,quad prop CCW 1-1,Origin_rotor_1_joint,Axis_rotor_1_joint,rotor_1_joint,continuous,0.836,-0.35355,0.0064134,1.5708,0,-3.1388,base_link,0,1,0,,,,,,,,,,,,
rotor_2,5.86620441112018E-09,0.0151465718936908,-8.54540862516018E-08,0,0,0,0.0672986280068749,0.00144267438153412,-2.29423563841152E-13,-6.233189805481E-05,0.00145259644276815,9.36362550848137E-12,1.13152021358967E-05,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_2.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_2.STL,,quad prop CW-1,Origin_rotor_2_joint,Axis_rotor_2_joint,rotor_2_joint,continuous,-0.564,-0.35355,0.0064134,1.5708,0,-0.091662,base_link,0,1,0,,,,,,,,,,,,
rotor_3,1.9021E-09,0.015147,1.9183E-09,0,0,0,0.067298,0.0014426,3.0472E-13,-6.2331E-05,0.0014526,2.8078E-13,1.1315E-05,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_3.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_3.STL,,quad prop CW-2,Origin_rotor_3_joint,Axis_rotor_3_joint,rotor_3_joint,continuous,0.836,0.35355,0.0064134,1.5708,0,-3.1164,base_link,0,1,0,,,,,,,,,,,,
right_ruddervator,0.029088,-0.0084763,0.0071511,0,0,0,0.011825,0.00022439,1.8506E-06,-3.6772E-10,5.7467E-06,-5.9487E-09,0.00022971,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/right_ruddervator.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/right_ruddervator.STL,,ruddervator_right-1,Origin_right_ruddervator_joint,Axis_right_ruddervator_joint,right_ruddervator_joint,revolute,1.3278,0.17783,0.17783,2.3562,0,0,base_link,0,1,0,-1,-1,-0.53,0.53,,,,,,,,
rotor_pusher,1.8932E-09,-0.0128,-4.8575E-08,0,0,0,0.18697,0.004287,-2.3985E-11,0.0009704,0.0045337,-4.8833E-11,0.00025725,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_pusher.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vtol_gauthali_7/meshes/rotor_pusher.STL,,Pusher-1,Origin_rotor_pusher_joint,Axis_rotor_pusher_joint,rotor_pusher_joint,continuous,0.50018,0,-0.058605,0,-1.2758,1.5708,base_link,0,1,0,,,,,,,,,,,,
